SYSTEM_ID,DOCNUMBER,DESTMITT_ID,DESTMITT_CODE,DESTMITT_DESCR,DEST_MITT_TYPE
2512651,593497,2512705,COMUNE DI LAURINO,COMUNE DI LAURINO,D
2512651,593497,2512706,TEAOTNA,TEAOTNA,D
2511625,593463,2511887,T * G Energie rinnovabil,T * G Energie rinnovabil,D
2511625,593463,2511888,TEAOTNA,TEAOTNA,D
2511138,593447,2512981,OLIVA FRATELLI SAS,OLIVA FRATELLI SAS,D
2511138,593447,2512982,TEAOTNA,TEAOTNA,D
2511196,593449,2524770,ATIITFOMSE,ATIITFOMSE,D
2511196,593449,2524771,TEAOTNA,TEAOTNA,D
2511345,593455,2511450,ASL 4 ACRI,ASL 4 ACRI,D
2511345,593455,2511451,DIREZ. PROV. LAVORO,DIREZ. PROV. LAVORO,D
2511345,593455,2511452,TEAOTNA,TEAOTNA,D
2511471,593458,2511611,2511522,AVV CHIANURA GRAZIA,D
2511471,593458,2511612,TEAOTNA,TEAOTNA,D
2510564,593432,2512633,CIPRIANI F.LLI ELETTROC,CIPRIANI F.LLI ELETTROC,D
2510564,593432,2512634,TEAOTNA,TEAOTNA,D
2510844,593440,2510917,ELEKTRON EDIL SRL,ELEKTRON EDIL SRL,D
2510844,593440,2510918,TEAOTNA,TEAOTNA,D
2510929,593441,2510981,ASL 1 AVELLINO,ASL 1 AVELLINO,D
2510929,593441,2510982,TEAOTNA,TEAOTNA,D
2511001,593443,2518299,OLIVA FRATELLI SAS,OLIVA FRATELLI SAS,D
2511001,593443,2518300,TEAOTNA,TEAOTNA,D
2511088,593446,2518314,OLIVA FRATELLI SAS,OLIVA FRATELLI SAS,D
2511088,593446,2518315,TEAOTNA,TEAOTNA,D
2509975,593412,2510142,SIEMENS,SIEMENS,D
2509975,593412,2510143,TEAOTNA,TEAOTNA,D
2510151,593416,2518273,ENERQOS SPA (MONZA),ENERQOS SPA (MONZA),D
2510151,593416,2518274,TEAOTNA,TEAOTNA,D
2509287,593395,2509701,COMUNE DI SCAMPITELLA,COMUNE DI SCAMPITELLA,D
2509287,593395,2509702,TEAOTNA,TEAOTNA,D
2509707,593404,2509865,DE LISE,DE LISE,D
2509707,593404,2509866,TEAOTNA,TEAOTNA,D
2509889,593409,2510103,DE LISE,DE LISE,D
2509889,593409,2510104,TEAOTNA,TEAOTNA,D
2508737,593380,2509281,REGIONE CAMPANIA,REGIONE CAMPANIA,D
2508737,593380,2509282,TEAOTNA,TEAOTNA,D
2508499,593372,2508657,,EOLICA COLAVECCHI SRL (LE),M
2508536,593374,2508729,ANAS SALERNO,ANAS SALERNO,D
2508536,593374,2508730,TEAOTNA,TEAOTNA,D
2506329,593299,2506437,AGENZIA DELLE ENTRATE,AGENZIA DELLE ENTRATE,M
2506474,593304,2506577,TERNA DIR.ROMA,TERNA DIR.ROMA,M
2506679,593311,2506786,FLAEI-CAMPANIA,FLAEI-CAMPANIA,M
2504367,593243,2504499,ECOSISTEM S.R.L.,ECOSISTEM S.R.L.,D
