SYSTEM_ID,GROUP_ID,GROUP_NAME
0,DOCS_USERS,DM USERS
1,DOCS_SUPERVISORS,DM SUPERVISORS
1318,RECORDS_MANAGERS,RM MANAGERS
2,__AMM,Amministratori di Registro
3,__DEL,Protocollatori
4,__GTB,Gestori Tabelle
3079,PROT_AOTMI_MOD,Gruppo protocollatori AOT Milano_MOD
217510,PACPROT,PACPROT
217511,AOTRM-USTZ,AOT Roma Unità Stazioni
217512,AOTRM-ULIN,AOT Roma Unità Linee
217513,AOTRM-USTG,AOT Roma Unità Supposrto Tecnico Gestionale
217514,AOTRM,AOT Roma
2193504,AOTNA-SICUREZZA,AOTNA-SICUREZZA
2193505,AOTNA-GOS MADDALONI,AOTNA-GOS MADDALONI
2193506,AOTNA-GOS BRINDISI,AOTNA-GOS BRINDISI
217518,AOTMI-TECMI,AOTMI-TE Conduzione e Monitoraggio Impianti
217519,AOTRM-UPRI,Unita' di Progettazione e Realizzazione Impianti
217520,AOTRM-USTZ-CC,AOT Roma Unità Stazioni - Controllo e collaudi
217521,AOTRM-USTG-SIC,AOT Roma Unità Tecnica Gestionale - Sicurezza
217509,Master,Gruppo Master
624745,AOTRM-UB,UNITà DI BUSINESS
630525,AOTRM-GOL CN,GRUPPO OPERATIVO LINEE - CANDIA
630534,AOTRM-GOL VV,GRUPPO OPERATIVO LINEE VILLAVALLE
630539,AOTRM-GOL RM,GRUPPO OPERATIVO LINEE ROMA
630544,AOTRM-GOS RM,GRUPPO OPERATIVO STAZIONI ROMA
630550,AOTRM-GOS TR,GRUPPO OPERATIVO STAZIONI TERNI
630555,AOTRM-GOS AP,GRUPPO OPERATIVO STAZIONI ASCOLI PICENO
707583,AOTRM-SIC,AOTRM-SIC
708512,AOTRM-TEC,AOTRM-TEC
708987,AOTRM-GEST,AOTRM-GEST
709537,AOTRM-ACQ,AOTRM-ACQ
710747,AOTRM-USTZ-RM,AOTRM-USTZ-RM
710880,AOTRM-USTZ-AP,AOTRM-USTZ-AP
711052,AOTRM-USTZ-TR,AOTRM-USTZ-TR
711407,AOTRM-ULIN-RM,AOTRM-ULIN-RM
711539,AOTRM-ULIN-VV,AOTRM-ULIN-VV
712542,AOTRM-ULIN-VN,AOTRM-ULIN-VN
712690,AOTRM-ULIN-CD,AOTRM-ULIN-CD
713053,AOTRM-UPRI-STZ,AOTRM-UPRI-STZ
713162,AOTRM-UPRI-LIN,AOTRM-UPRI-LIN
713285,AOTRM-UPRI-AUT,AOTRM-UPRI-AUT
2193507,AOTNA-GOS FEROLETO,AOTNA-GOS FEROLETO
2193508,AOTNA-GOL S.M. C.V.,AOTNA-GOL SANTA MARIA CAPUA VETERE
2193509,AOTNA-GOL MONTECORV,AOTNA-GOL MONTECORVINO
2193510,AOTNA-GOL TARANTO,AOTNA-GOL TARANTO
2193511,AOTNA-GOL ROTONDA,AOTNA-GOL ROTONDA
2193512,AOTNA-FC CMI,AOTNA-FC Conduzione e Monitoraggio Impianti
2193513,AOTNA-FC CTI,AOTNA-FC CTI
2193514,AOTNA-UPRI,AOTNA-UNITA' PROGETTAZIONE E REALIZZAZIONE IMPIANTI
2193515,AOTNA-STAZ,AOTNA-TEAM PROGETTAZIONE E REALIZZAZIONI STAZIONI
2193516,AOTNA-LIN,AOTNA-TEAM PROGETTAZIONE E REALIZZAZIONI LINEE
2193517,AOTNA-AUT,AOTNA-TEAM AUTORIZZAZIONI E SERVITU'
2193518,AOTNA-RGP NA,AOTNA-REALIZZAZIONI GRANDI PROGETTI LINEE
2193519,AOTNA-PRI_STAZ,AOTNA-TEAM PROGETTAZIONE E REALIZZAZIONE IMPIANTI
2453161,AOTNA-FC ING,AOTNA-FC Ingegneria
2598021,AOTPD-ACPD,AMMINISTRAZIONE E CONTROLLO - PADOVA
2598022,AOTPD-SSLPD,SEGRETERIA SOCIETARIA E LEGALE - PADOVA
2598023,AOTPD-ING-SSI,SUPPORTO SISTEMI - VILLABONA
2598024,AOTPD-ING-GPS,GRANDI PROGETTI STAZIONI
2598025,AOTPD,AOT - PADOVA
2598026,AOTPD-USTG,AOT-PD UNITA'SUPPORTO TECNICO GESTIONALE
2598027,AOTPD-USTZ,AOT-PD UNITA' STAZIONI
2598028,AOTPD-USTZ-SCC,AOT-PD USTZ-TEAM CONTROLLI E COLLAUDI
2598029,AOTPD-USTZ-STDO,AOT-PD USTZ-GR.OPERATIVO DOLO
2598030,AOTPD-USTZ-STDU,AOT-PD USTZ-GR.OPERATIVO DUGALE
2598031,AOTPD-USTZ-STUD,AOT-PD USTZ-GR.OPERATIVO UDINE
2598032,AOTPD-USTZ-STRE,AOT-PD USTZ-GR.OPERATIVO REDIPUGLIA
2598033,AOTPD-ULIN,AOT-PD UNITA'LINEE
2598034,AOTPD-ULIN-LST,AOT-PD ULIN-SUPPORTO TECNICO
2598035,AOTPD-ULIN-LICA,AOT-PD ULIN-GR.OPERATIVO CAMIN
2598036,AOTPD-ULIN-LIBA,AOT-PD ULIN-GR.OPERATIVO BASILIANO
2598037,AOTPD-ULIN-LITA,AOT-PD ULIN-GR.OPERATIVO TRENTINO A.A.
2598038,AOTPD-ULIN-LINO,AOT-PD ULIN-GR.OPERATIVO NOVE
2598039,AOTPD-NB,NUOVI BUSINESS
894155,TE-PSR-RTN,TE-PSR-RTN
894336,TE-PSR-RTN-NORD,TE-PSR-RTN-NORD
894337,TE-PSR-RTN-CENTRO,TE-PSR-RTN-CENTRO
894351,TE-PSR-RTN-SUD,TE-PSR-RTN-SUD
1154932,PAC-DIR,DIR
1154933,TEAA,Acquisti e Appalti
1154934,TEAA-AAS,Acquisti e Appalti per Stazioni
1154935,TEAA-AAL,Acquisti e Appalti per Linee
1154936,Storico TEAFC,AFC-Amministrazione Bilancio e Fiscale
1154937,Storico TEAFC-ABF,Amministrazione Bilancio e Fiscale
1154938,Storico Ris,Storico RIS da 1998 a 18/02/2004
1154939,TEING-INS,Ingegneria Stazioni
1154940,TEING-ILC,Ingegneria Linee e Connessioni
1154941,TESSL,Segreteria Societaria e Legale
1154942,Storico PCI,Storico Pianificazione e Controllo Interno da 1998 a 18/02/2004
1154943,TEAU,Audit
1154944,Storico TEAFC-PCO,Pianificazione e Controllo
1154945,Storico TEPO,Personale e Organizzazione
1154946,Storico TEPO-SCF,Sviluppo Compensation e Formazione
1154947,Storico TEPO-RIN,PO-Relazioni Industriali e Norme
1154948,Storico PO-ORS,Organizzazione e Sistemi Informativi
1154949,TERBC-SSE,Safety e Security
1154950,TEDSC-CON,Conduzione
1154951,Storico IMI-SVI-STG,Supporto Tecnico Gestionale
1154952,Storico IMI-SVI-GAC,Gestione e Amministrazione Commesse GRTN
1154953,TEBDI,Business Development e Internazionale
